Anyo;Semana;Zona Hidrográfica;Embalse Hidroeléctrico;Embalses;Ríos;AguaEmbalsada (hm3) Capacidad;AguaEmbalsada (hm3) Actual;AguaEmbalsada (hm3) (+ / -)SemanaAnterior;EnergíaDisponible GWh Capacidad;EnergíaDisponible GWh Actual;
2018;7;Tajo;NO;Guajaraz;Guajaraz;18;10;0;0;0;
2018;7;Tajo;SI;Guijo de Granadilla;Alagón;13;11;0;3;1;
2018;7;Tajo;NO;Jarosa, La;La Jarosa;7;3;0;0;0;
2018;7;Tajo;NO;Jerte - Plasencia;Jerte;59;34;0;0;0;
2018;7;Tajo;SI;Molino de Chincha;Guadiela;6;6;0;4;3;
2018;7;Tajo;NO;Navacerrada;Navacerrada;11;5;0;0;0;
2018;7;Tajo;NO;Navalcán;Guayerbas;34;20;0;0;0;
2018;7;Tajo;NO;Navamuño;Angostura;14;5;0;0;0;
2018;7;Tajo;NO;Pálmaces;Cañamares;31;11;0;0;0;
2018;7;Tajo;NO;Pardo, El;Manzanares;43;8;0;0;0;
2018;7;Tajo;NO;Picadas;Alberche;15;14;0;9;7;
2018;7;Tajo;NO;Pinilla;Lozoya;38;20;-1;0;0;
2018;7;Tajo;NO;Portaje;Fresnedilla;23;9;0;0;0;
2018;7;Tajo;NO;Portiña, La;Portiña;5;1;0;0;0;
2018;7;Tajo;NO;Puentes Viejas;Lozoya;53;26;0;0;0;
2018;7;Tajo;NO;Riosequillo;Lozoya;50;29;-2;0;0;
2018;7;Tajo;NO;Rivera de Gata;Rivera de Gata;49;14;0;0;0;
2018;7;Tajo;NO;Rosarito;Tiétar;82;28;1;0;0;
2018;7;Tajo;NO;Salor;Salor;14;3;0;0;0;
2018;7;Tajo;NO;San Juan;Alberche;138;29;0;104;0;
2018;7;Tajo;NO;Santillana;Manzanares;91;37;-1;0;0;
2018;7;Tajo;NO;Tajera, La;Tajuña;64;3;0;0;0;
2018;7;Tajo;NO;Torcón;Torcón;7;1;0;0;0;
2018;7;Tajo;SI;Torrejón (Tajo - Tietar);Tiétar;188;166;-7;25;13;
2018;7;Tajo;NO;Vado, El;Jarama;56;17;1;0;0;
